City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,codrington,-38.2667,141.9667,12.23,87,99,6.29,AU,1697045256
115,walvis bay,-22.9575,14.5053,15.53,82,0,6.17,NA,1697045256
116,decorah,43.3033,-91.7857,14.51,30,0,2.57,US,1697045256
117,carnarvon,-24.8667,113.6333,21.2,65,63,11.18,AU,1697045257
118,bredasdorp,-34.5322,20.0403,16.0,95,87,1.61,ZA,1697045257
119,lazaro cardenas,17.9583,-102.2,24.79,93,99,3.65,MX,1697045001
120,fall river,41.7015,-71.1551,20.96,57,75,4.63,US,1697045257
121,korpilahti,62.0167,25.55,12.29,82,100,8.72,FI,1697045257
122,yorkton,51.2167,-102.4677,9.91,62,75,5.66,CA,1697045090
123,mokopane,-24.1944,29.0097,27.68,23,50,3.16,ZA,1697045258
124,yangjiang,21.85,111.9667,22.05,84,81,3.65,CN,1697045258
125,siaton,9.0648,123.0339,26.74,80,98,1.37,PH,1697045258
126,kapoeta,4.7717,33.5903,27.97,52,100,3.38,SS,1697045123
127,bondo,3.8146,23.6866,21.39,98,100,1.62,CD,1697045259
128,qiqihar,47.3408,123.9672,11.81,51,2,2.33,CN,1697045259
129,sitka,57.0531,-135.33,9.94,87,75,0.0,US,1697045259
130,san antonio de pale,-1.4014,5.6325,25.46,82,100,4.0,GQ,1697045259
131,port lincoln,-34.7333,135.8667,13.08,68,6,10.05,AU,1697045260
132,katabu,-4.9333,122.5167,22.71,89,94,1.81,ID,1697045260
133,uturoa,-16.7333,-151.4333,26.0,78,37,7.15,PF,1697045260
134,papatowai,-46.5619,169.4708,9.02,80,93,9.05,NZ,1697045260
135,isla vista,34.4133,-119.861,23.34,58,0,2.57,US,1697045260
136,valparaiso,-33.0393,-71.6273,17.13,61,20,4.12,CL,1697045260
137,adigrat,14.277,39.462,16.83,59,61,2.67,ET,1697045261
138,nicoya,10.1483,-85.452,30.35,72,75,0.78,CR,1697045261
139,iskateley,67.6803,53.1512,1.12,76,24,4.02,RU,1697045261
140,winnemucca,40.973,-117.7357,10.03,62,75,2.57,US,1697045261
141,wailua homesteads,22.0669,-159.378,22.24,80,20,3.09,US,1697045262
142,bandon,51.7469,-8.7425,12.77,93,100,3.81,IE,1697045114
143,bismarck,46.8083,-100.7837,13.26,47,0,5.36,US,1697045245
144,saraqib,35.8645,36.8059,24.45,52,91,3.63,SY,1697045262
145,naze,28.3667,129.4833,23.51,68,71,6.9,JP,1697045262
146,quepos,9.4236,-84.1652,30.07,70,94,2.53,CR,1697045263
147,plastun,44.7561,136.2939,11.72,77,14,2.88,RU,1697045263
148,cabo san lucas,22.8909,-109.9124,32.01,59,0,6.69,MX,1697045163
149,stanovoye,52.7638,38.3582,4.32,55,82,4.36,RU,1697045263
150,port-vila,-17.7338,168.3219,22.17,75,92,4.99,VU,1697045053
151,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697045264
152,vegueta,-11.0231,-77.6431,21.06,75,59,4.88,PE,1697045264
153,saint-georges,12.0564,-61.7485,28.82,84,20,7.2,GD,1697045027
154,katsuren-haebaru,26.3369,127.8719,26.21,78,100,4.63,JP,1697045086
155,kangding,30.0513,101.9603,9.4,98,93,1.34,CN,1697045264
156,luang namtha,20.9497,101.4011,23.78,75,99,0.24,LA,1697045264
157,tucuma,-0.1833,-50.05,33.88,46,22,4.8,BR,1697045168
158,kapuskasing,49.4169,-82.4331,6.05,75,100,3.09,CA,1697045265
159,nasir,15.5894,32.5634,38.14,10,1,4.98,SD,1697045265
160,al mijlad,11.0333,27.7333,27.29,61,52,10.44,SD,1697045265
161,el nido,11.1858,119.3956,25.07,89,99,1.08,PH,1697045001
162,vorgashor,67.5833,63.95,-0.1,82,100,0.67,RU,1697045266
163,azna,33.6095,48.9307,20.21,31,67,2.61,IR,1697045266
164,tabou,4.423,-7.3528,25.94,87,99,3.9,CI,1697044984
165,labrador city,52.9463,-66.9114,9.95,87,100,1.03,CA,1697045266
166,ust-tsilma,65.441,52.1498,-0.22,80,18,1.34,RU,1697045266
167,colonia,50.9333,6.95,23.36,50,0,3.6,DE,1697045148
168,sovetskaya gavan',48.9723,140.2878,8.39,62,0,2.92,RU,1697045266
169,at taj,24.2049,23.2857,26.36,22,3,4.6,LY,1697044971
170,zhanaozen,43.3,52.8,9.73,74,100,4.68,KZ,1697045267
171,chaoyang,41.5703,120.4586,14.63,52,18,1.41,CN,1697045267
172,praia da vitoria,38.7333,-27.0667,24.14,69,20,2.62,PT,1697045059
173,samfya,-11.3649,29.5565,28.81,27,100,1.24,ZM,1697045268
174,mahajanga,-15.7167,46.3167,27.01,83,0,4.63,MG,1697045268
175,savanna-la-mar,18.219,-78.1332,31.97,52,16,4.48,JM,1697045204
176,amga,60.8953,131.9608,8.88,91,100,4.92,RU,1697045268
177,hadibu,12.65,54.0333,27.36,79,42,2.27,YE,1697045268
178,puan,35.7281,126.7319,12.94,78,84,1.35,KR,1697045268
179,darwin,-12.4611,130.8418,27.99,78,40,1.54,AU,1697045224
180,mossel bay,-34.1831,22.146,16.96,92,99,2.26,ZA,1697045269
181,challapata,-18.9,-66.7667,20.38,24,74,5.09,BO,1697045269
182,kosh-agach,50.0,88.6667,5.73,53,6,1.34,RU,1697045269
183,badger,64.8,-147.5333,-4.07,93,100,0.0,US,1697045269
184,klaksvik,62.2266,-6.589,6.51,82,89,18.79,FO,1697045269
185,utrik,11.2278,169.8474,28.22,76,71,8.01,MH,1697045270
186,island harbour,50.724,-1.2758,17.74,89,100,1.34,GB,1697045270
187,feijo,-8.1642,-70.3536,40.1,25,75,1.23,BR,1697045270
188,suileng,47.25,127.0833,9.81,62,1,1.99,CN,1697045270
189,gunjur,13.2019,-16.7339,30.04,79,75,2.57,GM,1697045270
190,yamada,39.4667,141.95,11.01,78,2,2.5,JP,1697045271
191,altai,46.3722,96.2583,5.89,55,47,2.36,MN,1697045271
192,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,20,6.71,RU,1697045271
193,miranda,3.2499,-76.2281,25.25,64,100,0.93,CO,1697045271
194,remire-montjoly,4.9167,-52.2667,33.02,52,0,5.66,GF,1697045271
195,alta,69.9689,23.2717,-1.41,86,100,1.54,NO,1697045272
196,dolisie,-4.1997,12.6739,27.71,66,86,1.52,CG,1697045272
197,jeddah,21.5169,39.2192,31.92,62,0,3.6,SA,1697045272
198,kargasok,59.0556,80.8572,3.87,96,98,7.15,RU,1697045272
199,cromwell,41.5951,-72.6454,21.39,55,40,4.63,US,1697044984
200,linghai,41.1653,121.3667,14.94,57,15,0.7,CN,1697045272
